eda,temp,resp,acc,ecg,random_forest,logistic_regression,ensemble
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,0
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,0
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
19.229,1.3007,0.4332,-2.8709,-0.3052,0,1,1
19.2916,-0.1602,-2.2885,-1.8712,0.4986,0,1,1
18.2444,5.1506,-2.9889,-0.9119,-0.6847,0,1,1
18.075,5.2046,-0.1925,-2.6161,0.8905,0,1,1
15.1671,9.1214,0.639,-0.9594,-0.0962,0,1,1
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
18.4634,3.1429,-0.4777,-1.1581,1.5328,0,0,0
18.2296,5.9655,4.3265,-0.5868,-0.4802,0,0,1
19.5438,1.7337,1.7651,-0.7003,0.1134,0,1,1
14.6315,3.1968,-0.0745,-1.8757,0.9088,0,1,1
17.9646,0.8676,0.4113,-1.1245,-0.2618,0,1,1
19.0229,5.4494,0.1078,-0.8454,-0.3478,0,1,1
17.81,7.407,-2.1407,-0.412,0.0526,0,1,1
18.8959,6.9713,-1.5223,-1.4355,0.0171,0,1,1
20.4401,1.5444,-0.0745,-2.4381,0.817,0,1,1
18.2444,5.1506,-2.9889,-0.9119,-0.6847,0,1,1
15.3327,2.492,0.1136,-1.4426,-0.62,0,1,1
16.7131,15.7869,-0.182,-0.8129,0.1547,0,1,1
17.8155,4.9333,-0.379,-1.1497,1.5066,0,1,1
17.9149,3.2788,0.8197,-2.5273,0.1337,0,1,1
19.1315,9.3398,0.3695,-1.4337,-0.8345,0,1,1
17.8284,4.5261,-1.212,-1.7501,0.0405,0,1,1
19.7057,10.6481,-0.2949,-1.3484,0.0326,0,1,1
17.6683,8.6317,-0.4129,-1.923,0.4883,0,1,1
15.6953,10.7845,0.0164,-1.2154,0.2398,0,1,1
18.2278,6.1014,1.7656,-0.9722,-1.2735,0,1,1
16.5548,7.9236,0.3977,-1.4808,0.0332,0,1,1
18.8959,6.9713,-1.5223,-1.4355,0.0171,0,1,1
19.956,4.0381,1.2992,-3.5762,0.2118,0,1,1
20.5395,1.03,-2.1658,-0.1116,0.453,0,1,1
14.6425,6.4277,-0.7879,-0.5235,0.8079,0,1,1
16.2106,1.9775,-3.3096,0.3347,-0.0476,0,1,1
18.145,4.9878,-1.3019,-0.9352,0.333,0,1,1
16.8345,7.1891,1.3619,-0.378,-0.558,1,1,1
16.045,12.2584,-0.8046,-1.7751,-0.5273,1,1,1
19.5069,2.3841,4.0387,-1.2223,-1.1094,1,1,1
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,0
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,0
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,0
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,0
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,0,1,1
-7.9404,3.8483,0.1073,-0.6564,-2.9702,0,1,1
-7.9404,3.8483,0.1073,-0.6564,-2.9702,0,1,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,0,0,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,0,0,1
-8.0637,4.119,-0.6365,-0.6901,-0.3499,0,0,1
-8.0637,4.119,-0.6365,-0.6901,-0.3499,0,0,1
16.4812,1.7612,2.255,-1.5083,1.3377,1,1,1
16.4812,1.7612,2.255,-1.5083,1.3377,1,1,1
17.1069,11.0844,-4.3109,-1.5643,0.6739,1,0,1
17.1069,11.0844,-4.3109,-1.5643,0.6739,1,0,1
-2.9011,8.5228,-0.4526,1.4553,0.1833,1,0,0
-9.433,4.662,-0.5518,-0.2652,0.2817,0,0,0
-2.8606,9.5302,-0.2714,0.2625,0.405,1,0,0
-10.5778,5.4769,0.5095,-0.8164,-0.0476,1,0,1
-10.7067,6.3737,-0.9383,-1.9283,0.1368,1,0,0
-10.7435,7.1072,0.1538,0.5853,0.2173,1,0,0
-10.5852,5.8026,0.0363,-1.4369,-1.1602,1,0,0
-10.7159,6.7264,-0.3544,0.3704,0.303,1,0,0
-10.7159,6.7264,-0.3544,0.3704,0.303,1,0,0
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,0
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,0
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,0
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,0
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,0
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,0
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
1.9891,-1.2954,0.5309,0.3665,0.3886,1,1,1
1.9891,-1.2954,0.5309,0.3665,0.3886,1,1,1
1.9891,-1.2954,0.5309,0.3665,0.3886,1,1,1
1.5584,-0.9169,-0.2311,-0.2094,-0.1126,1,1,1
1.5584,-0.9169,-0.2311,-0.2094,-0.1126,1,1,1
1.2271,-0.8629,-1.9292,-0.4804,-0.1691,1,1,1
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,1
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,1
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,1
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,1
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,0
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,0,1,1
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,1
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,1
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,1
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,1
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,1,0,1
-8.0637,4.119,-0.6365,-0.6901,-0.3499,1,0,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,1,0,1
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,1,1,1
-7.8649,4.2279,0.755,-0.9818,0.1322,1,1,1
-7.8594,4.119,1.1519,-0.2631,-0.0075,1,1,1
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,1,1,1
-7.5244,3.6309,-0.943,-0.4681,0.2294,1,0,1
-7.5981,3.5495,-0.8046,-0.03,0.2243,1,0,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,1,0,1
-7.4803,3.495,-0.8339,-0.2669,0.1079,1,0,1
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,1
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,1
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.1453,3.5765,-0.6365,-0.3452,0.4391,0,0,0
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,0
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,0
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,0
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,0
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,0
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,0
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,1,0,1
-8.0637,4.119,-0.6365,-0.6901,-0.3499,1,1,1
1.9891,-1.2954,0.5309,0.3665,0.3886,1,1,1
1.9891,-1.2954,0.5309,0.3665,0.3886,1,1,1
1.5584,-0.9169,-0.2311,-0.2094,-0.1126,1,1,1
1.5584,-0.9169,-0.2311,-0.2094,-0.1126,1,1,1
1.2271,-0.8629,-1.9292,-0.4804,-0.1691,1,1,1
0.7854,-0.7011,1.8748,0.1753,0.8705,1,1,1
0.7854,-0.7011,1.8748,0.1753,0.8705,1,1,1
0.8848,-0.7281,-1.329,-0.2035,0.1742,1,1,1
0.7946,-0.7011,1.0443,-1.1408,-0.5598,1,1,1
0.4909,0.3807,0.0154,1.005,-0.1612,1,1,1
0.5517,0.2453,-1.0721,-0.2192,-5.0643,1,1,1
0.5222,0.5969,-1.8936,0.1088,0.5375,1,1,1
0.3879,-0.322,0.6641,-1.1075,-0.1175,1,1,1
0.2737,0.543,1.3191,-0.8307,0.1377,1,1,1
0.2517,-0.7011,-0.7963,-0.6053,0.097,1,1,1
0.0032,1.03,0.1689,-0.9114,-0.0756,1,1,1
-0.1625,0.2183,-0.814,0.2045,-0.0607,1,1,1
-0.3704,-0.2686,0.3371,-0.2222,0.0551,1,1,1
-0.2306,-0.7551,-0.9848,0.3921,0.1468,1,1,1
-0.5582,-0.322,0.1,-0.4429,0.1298,1,1,1
-0.8066,-0.7281,1.5792,-0.5694,0.8012,1,1,1
-1.1361,1.1653,-0.181,0.4354,0.1344,1,1,1
-1.3496,1.463,0.148,0.811,0.3662,0,1,1
-1.933,1.7612,1.6638,2.2246,0.5727,1,1,1
-2.4392,1.7073,0.9137,1.5872,0.2045,1,1,1
-2.5017,0.0291,0.6531,1.2689,-3.1908,1,1,1
-2.6895,0.7592,0.639,0.3081,0.3971,1,1,1
-2.7925,0.8137,-1.9537,-0.5818,0.1012,1,1,1
-2.9361,1.0839,-0.6093,0.4391,-0.3639,1,1,1
-3.122,0.8946,-0.3262,0.5925,-0.4647,1,1,1
-3.6134,1.3007,0.1627,1.1621,-0.2901,1,1,1
-3.7551,0.7323,-1.1044,0.8783,-0.2232,1,1,1
-3.9373,1.6798,-0.8099,-0.1138,0.1265,1,1,1
-4.1416,1.6798,0.5481,-0.6377,1.1804,1,1,1
-4.0993,0.4891,0.6662,0.2624,-0.1211,1,1,1
-4.2686,1.8961,-0.8934,0.3952,0.3546,1,1,1
-4.4858,1.9511,0.7226,0.0901,0.7359,1,1,1
-4.703,1.7882,0.4322,0.3651,0.0933,1,1,1
-4.9606,1.9775,-0.8496,-0.1753,0.2209,1,1,1
-5.0471,2.3296,-0.7535,1.0462,-0.5562,1,1,1
-5.2846,1.03,-0.0974,0.3312,0.4263,1,1,1
-5.2662,1.03,-1.0778,-0.0375,0.3953,1,1,1
-5.3158,1.8421,0.8605,-1.0865,1.1172,1,1,1
-5.3471,2.3841,1.2971,-1.2133,-0.2664,1,1,1
-5.257,1.5714,-0.7712,0.4189,0.1906,1,1,1
-5.3066,1.2193,-1.3343,-1.6,0.0915,1,1,1
-5.4042,2.0589,-1.2214,-0.3958,-1.1866,1,1,1
-5.5036,2.3841,1.5029,1.1544,0.7265,1,1,1
-5.6011,2.547,-0.7075,-0.502,0.8662,1,1,1
-5.6674,1.9511,-1.5144,-0.2308,-0.1719,1,1,1
-5.8422,2.1668,-0.4014,0.0416,0.3458,1,1,1
-6.3189,2.492,-0.2813,-0.1109,0.4433,1,1,1
-6.3815,2.6818,1.2386,-0.2219,9.7081,1,1,1
-6.3171,1.8421,-0.485,-0.1863,-0.2986,1,1,1
-6.3171,1.8421,-0.485,-0.1863,-0.2986,1,1,1
-6.3171,1.8421,-0.485,-0.1863,-0.2986,1,1,1
-6.3171,1.8421,-0.485,-0.1863,-0.2986,1,1,1
-6.3171,1.8421,-0.485,-0.1863,-0.2986,0,1,1
-6.3392,3.1154,0.2771,-0.78,0.5813,1,1,1
-6.3392,3.1154,0.2771,-0.78,0.5813,1,1,1
18.1855,14.3907,-0.6756,-3.027,0.0107,1,1,1
19.0137,9.1759,-1.4361,-0.6688,-0.0312,1,1,1
17.8763,5.6667,1.6236,-2.1065,1.2791,1,1,1
20.0959,4.9063,-3.3556,-0.1515,2.1689,1,0,1
17.1069,11.0844,-4.3109,-1.5643,0.6739,1,1,1
17.7511,3.6849,-1.3087,-0.8483,0.2155,1,0,1
16.1701,14.3638,0.6996,-1.1953,1.1481,1,1,1
19.229,1.3007,0.4332,-2.8709,-0.3052,1,1,1
13.5493,7.7058,3.7843,-0.5024,-0.0203,1,1,1
16.7057,5.8026,-1.0877,-1.3205,-0.7865,1,1,1
16.5253,0.9216,4.925,-0.9519,0.4859,1,1,1
18.075,5.2046,-0.1925,-2.6161,0.8905,1,1,1
18.0364,4.9878,1.036,-2.6192,-0.6577,1,1,1
17.6738,6.6175,0.2363,0.2973,-2.2052,1,1,1
23.0738,0.7862,-0.1627,-1.1338,1.325,1,1,1
16.8088,15.7044,-0.8657,-1.185,-0.4684,1,1,1
19.1517,2.1668,-2.4112,-1.0201,0.2404,1,1,1
14.4143,4.4447,-1.656,-0.3709,1.0145,1,1,1
19.0395,0.3262,-0.9164,-0.0992,-0.2202,1,1,1
17.6002,5.341,5.4296,-3.5179,-0.2518,1,1,1
17.6738,6.6175,0.2363,0.2973,-2.2052,1,1,1
15.318,11.0844,0.1016,-1.5927,0.375,1,1,1
19.3744,7.5968,-2.4718,-1.753,-0.4559,1,1,1
18.075,5.2046,-0.1925,-2.6161,0.8905,1,1,1
19.9155,6.5091,-0.1674,4.728,0.1359,1,1,1
-1.0643,9.1214,-0.3774,0.6601,0.1538,1,1,1
-8.9361,3.7124,-0.7576,-0.7242,0.1979,1,1,1
-10.8318,4.3638,-0.9373,-0.2824,0.1505,1,1,1
-10.8429,6.6725,-2.2399,0.3398,0.1028,1,0,1
-2.1925,9.3943,-0.5529,0.0894,-0.0251,0,0,1
-10.6699,7.5154,-0.4704,1.0047,0.145,0,0,1
-10.7324,5.4494,-0.1909,0.5318,0.2246,0,0,0
-3.0171,9.4482,2.2916,0.3268,1.0886,0,0,0
-0.5747,9.3398,-1.2413,0.5816,0.0958,0,0,1
0.0216,8.5228,1.0605,0.0276,0.2802,0,0,1
-0.2306,-0.7551,-0.9848,0.3921,0.1468,1,0,1
-7.8594,4.119,1.1519,-0.2631,-0.0075,1,1,1
-10.8134,6.5091,-0.0379,0.4066,0.9413,1,0,1
-10.8061,7.2436,-0.7587,0.4214,0.2228,1,0,1
-10.7877,7.1616,-0.5069,-0.3022,-0.3721,1,1,1
-10.7877,7.1616,-0.5069,-0.3022,-0.3721,1,1,1
-9.4956,3.5765,0.0603,-1.0539,-0.4432,1,1,1
-9.4956,3.5765,0.0603,-1.0539,-0.4432,1,0,1
-10.6496,7.0263,-0.5607,-0.3739,0.3771,1,0,1
-10.6496,7.0263,-0.5607,-0.3739,0.3771,0,1,1
-10.6809,6.0744,0.1512,0.2588,0.1933,0,0,1
-10.6533,6.6995,0.3883,-0.59,0.7125,0,0,1
-0.6483,9.2578,-0.7158,0.0776,0.2832,0,0,1
-2.5017,0.0291,0.6531,1.2689,-3.1908,1,1,1
-8.2128,3.1968,-0.2458,-0.5948,0.2665,1,1,1
-10.9312,7.2166,1.6993,0.0324,0.2723,1,1,1
-7.3238,3.3866,-0.6558,0.0323,0.1362,0,0,1
-7.4803,3.495,-0.8339,-0.2669,0.1079,0,0,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,1
-7.5981,3.5495,-0.8046,-0.03,0.2243,0,0,1
-7.5244,3.6309,-0.943,-0.4681,0.2294,0,0,1
-7.6275,4.1735,-4.0069,-0.4625,-0.4146,0,0,1
-7.8594,4.119,1.1519,-0.2631,-0.0075,0,0,0
-7.8649,4.2279,0.755,-0.9818,0.1322,0,0,0
-7.9367,4.0651,-0.9624,-0.2157,-0.2375,0,0,0
-7.9404,3.8483,0.1073,-0.6564,-2.9702,1,1,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,1,0,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,1,0,1
-8.0361,4.2819,-0.4369,0.0038,0.3072,1,0,1
-10.6772,6.7809,-0.5545,-0.3173,0.3294,1,0,1
-2.2349,9.0669,0.8688,0.3206,0.063,1,1,1
17.9572,7.5424,-3.7316,-2.3836,0.3643,1,1,1
17.6738,6.6175,0.2363,0.2973,-2.2052,1,1,1
19.5069,2.3841,4.0387,-1.2223,-1.1094,1,1,1
19.1315,9.3398,0.3695,-1.4337,-0.8345,1,1,1
19.9247,0.8946,-1.9485,-1.658,-0.7652,1,1,1
16.8345,6.7264,-0.6876,-1.6817,5.1693,1,1,1
15.6014,2.3841,-0.3252,-0.4616,0.2686,1,1,1
15.9769,11.4667,4.0293,-1.8937,0.4907,1,1,1
16.6836,1.4085,-1.4486,-0.8724,0.5673,1,1,1
16.4904,4.2549,-2.2807,-1.3478,0.2024,1,1,1
17.9683,6.3737,-1.3207,-1.4593,0.1562,1,1,1
15.5112,10.4297,3.0155,-2.3222,0.0648,1,1,1
18.075,5.2046,-0.1925,-2.6161,0.8905,1,1,1
-10.7637,7.4884,-0.5633,1.7498,0.2179,1,1,1
-7.5244,3.6309,-0.943,-0.4681,0.2294,1,1,1
-7.5244,3.6309,-0.943,-0.4681,0.2294,1,0,1
-10.8778,7.1891,0.8495,0.4068,-0.3891,1,0,1
-10.7232,5.8571,-0.7221,1.1049,0.176,1,0,1
-10.5631,7.5968,-1.6664,-0.2877,-0.9633,0,0,1
-10.5465,5.259,0.7842,-0.1453,0.1347,1,0,1
-10.2318,5.4224,0.0467,-0.0698,0.196,1,0,1
-3.0281,9.1214,-0.5571,0.0089,-0.0549,0,0,1
-10.6478,6.8898,0.2979,-0.1931,0.2583,0,1,1
-10.5373,7.2706,-0.943,0.7059,0.1286,0,0,1
-1.2391,7.9236,-0.4495,1.0021,0.2884,1,0,1
-10.8429,6.02,-0.6516,0.0302,0.2276,1,0,1
